ID	Gene	Protein	Category	Sub-category	Pathway/Activity	EC	KO	UniProt
AF-A1DBP9-F1-model_v4	axe	Acetylxylan esterase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	A1DBP9
AF-Q8NJP6-F1-model_v4	axe	Acetylxylan esterase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	Q8NJP6
AF-Q9UVX6-F1-model_v4	axhA	Alpha-L-arabinofuranosidase axhA	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	Q9UVX6
AF-A2QTU5-F1-model_v4	axlA	Alpha-xylosidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.177	-	A2QTU5
AF-Q7Z9M8-F1-model_v4	cel74a	Xyloglucanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.155	K18578	Q7Z9M8
AF-P55278-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P55278
AF-A2R6F5-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	A2R6F5
AF-P51529-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P51529
AF-A1A278-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	A1A278
AF-P49425-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P49425
AF-P49424-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P49424
AF-G1K3N4-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	G1K3N4
AF-B3PF24-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	B3PF24
AF-A1D8Y6-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	A1D8Y6
AF-P55296-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P55296
AF-Q99036-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	Q99036
AF-P16699-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase A and B	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P16699
AF-P55298-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase C	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	P55298
AF-Q5AZ53-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase C	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	Q5AZ53
AF-A1C8U0-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase F	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	A1C8U0
AF-B8NIV9-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase F	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	B8NIV9
AF-A1DBV1-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase F	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	A1DBV1
AF-Q5AR04-F1-model_v4	man	Mannan endo-1,4-beta-mannosidase F	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.78	K19355	Q5AR04
AF-Q8RS40-F1-model_v4	txyA	Beta-1,3-xylanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.32	K20845	Q8RS40
AF-Q9LCB9-F1-model_v4	txyA	Beta-1,3-xylanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.32	K20845	Q9LCB9
AF-Q5BD38-F1-model_v4	xgcA	Oligoxyloglucan-reducing end-specific xyloglucanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.150	K18651	Q5BD38
AF-B8N3L3-F1-model_v4	xgeA	Xyloglucan-specific endo-beta-1,4-glucanase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.151	K18576	B8N3L3
AF-Q9HFA4-F1-model_v4	xlnA	Endo-1,4-beta-xylanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.8	K01181	Q9HFA4
AF-Q0CB82-F1-model_v4	xlnD	Exo-1,4-beta-xylosidase bxlB	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37	-	Q0CB82
AF-W8QRE4-F1-model_v4	xyl5	Beta-xylosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37	-	W8QRE4
AF-P45702-F1-model_v4	xylA	Beta-xylosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37	K22268	P45702
AF-P45704-F1-model_v4	xylA	Beta-xylosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37	K22268	P45704
AF-A1A048-F1-model_v4	xylA	Reducing end xylose-releasing exo-oligoxylanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.156	K15531	A1A048
AF-P96793-F1-model_v4	xylQ	Alpha-xylosidase XylQ	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.177	K01811	P96793
AF-P45703-F1-model_v4	xynA	Endo-1,4-beta-xylanase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.8	K01181	P45703
AF-P23552-F1-model_v4	xynB	Beta-xylosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37	K01198	P23552
AF-P48791-F1-model_v4	xynB	Beta-xylosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37	K01198	P48791
AF-P45982-F1-model_v4	xynB	Xylosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.37; 3.2.1.55	K01198	P45982
AF-P23031-F1-model_v4	xynC	Alpha-L-arabinofuranosidase C	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	P23031
AF-Q45070-F1-model_v4	xynC	Glucuronoxylanase XynC	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.136	K15924	Q45070
AF-P45796-F1-model_v4	xynD	Arabinoxylan arabinofuranohydrolase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	K15921	P45796
AF-Q45071-F1-model_v4	xynD	Arabinoxylan arabinofuranohydrolase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	K15921	Q45071
AF-P37651-F1-model_v4	bcsZ	Endoglucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K20542	P37651
AF-P58935-F1-model_v4	bcsZ	Endoglucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K20542	P58935
AF-Q8RSY9-F1-model_v4	bcsZ	Endoglucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K20542	Q8RSY9
AF-P27051-F1-model_v4	bg1	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	P27051
AF-P45798-F1-model_v4	bg1	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	P45798
AF-P19254-F1-model_v4	bgc	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	P19254
AF-P87076-F1-model_v4	bglA	Beta-glucosidase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	P87076
AF-P16084-F1-model_v4	bglA	Beta-glucosidase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	P16084
AF-Q59437-F1-model_v4	bglA	Beta-glucosidase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q59437
AF-P38645-F1-model_v4	bglA	Thermostable beta-glucosidase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	P38645
AF-Q5BFG8-F1-model_v4	bglB	Beta-glucosidase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	K05350	Q5BFG8
AF-P14002-F1-model_v4	bglB	Thermostable beta-glucosidase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	K05350	P14002
AF-P37073-F1-model_v4	bglBB	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	P37073
AF-B8NGU6-F1-model_v4	bglC	Beta-glucosidase C	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	B8NGU6
AF-Q4WD56-F1-model_v4	bglE	Beta-glucosidase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q4WD56
AF-Q5AYH8-F1-model_v4	bglE	Beta-glucosidase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q5AYH8
AF-A1CMH6-F1-model_v4	bglE	Beta-glucosidase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	A1CMH6
AF-A1DLJ5-F1-model_v4	bglE	Beta-glucosidase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	A1DLJ5
AF-B0YD91-F1-model_v4	bglE	Beta-glucosidase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	B0YD91
AF-Q2UTX5-F1-model_v4	bglE	Beta-glucosidase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q2UTX5
AF-Q5B681-F1-model_v4	bglN	Beta-glucosidase N	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q5B681
AF-Q5BG51-F1-model_v4	bglO	Beta-glucosidase O	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q5BG51
AF-P33363-F1-model_v4	bglX	Beta-glucosidase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	K05349	P33363
AF-P23549-F1-model_v4	bgtC	Endoglucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P23549
AF-Q2US39-F1-model_v4	btgE	Beta-glucosidase btgE	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q2US39
AF-Q00328-F1-model_v4	cbhA	Exoglucanase 1	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.91	K19668	Q00328
AF-P50401-F1-model_v4	cbhA	Exoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.91	K19668	P50401
AF-A1CU44-F1-model_v4	cbhB	1,4-beta-D-glucan cellobiohydrolase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.91	-	A1CU44
AF-A2QAI7-F1-model_v4	cbhB	1,4-beta-D-glucan cellobiohydrolase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.91	-	A2QAI7
AF-P50899-F1-model_v4	cbhB	Exoglucanase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.91	-	P50899
AF-Q4WFK4-F1-model_v4	cbhC	1,4-beta-D-glucan cellobiohydrolase C	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.91	-	Q4WFK4
AF-P29719-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P29719
AF-O08342-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	O08342
AF-P22534-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P22534
AF-P26414-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P26414
AF-P54937-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P54937
AF-P06566-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P06566
AF-P22541-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P22541
AF-A3DC29-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	A3DC29
AF-P10476-F1-model_v4	celA	Endoglucanase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P10476
AF-P27035-F1-model_v4	celA	Endoglucanase CelA	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P27035
AF-P56680-F1-model_v4	celB	Endoglucanase 1	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P56680
AF-P16216-F1-model_v4	celB	Endoglucanase 1	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P16216
AF-P37701-F1-model_v4	celB	Endoglucanase 2	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P37701
AF-P06565-F1-model_v4	celB	Endoglucanase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P06565
AF-P23550-F1-model_v4	celB	Endoglucanase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P23550
AF-P04956-F1-model_v4	celB	Endoglucanase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P04956
AF-P18126-F1-model_v4	celB	Endoglucanase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P18126
AF-Q12647-F1-model_v4	celB	Endoglucanase B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	Q12647
AF-G4N5V2-F1-model_v4	celB	Endoglucanase cel12B	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	G4N5V2
AF-P26222-F1-model_v4	celB	Endoglucanase E-2	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	K19357	P26222
AF-P19424-F1-model_v4	celC	Endoglucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P19424
AF-P0C2S3-F1-model_v4	celC	Endoglucanase C	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P0C2S3
AF-P27033-F1-model_v4	celC	Endoglucanase C	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P27033
AF-P19570-F1-model_v4	celC	Endoglucanase C	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P19570
AF-G4NBX2-F1-model_v4	celC	Endoglucanase cel12C	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	G4NBX2
AF-P37700-F1-model_v4	celC	Endoglucanase G	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P37700
AF-A0A0U4EBH5-F1-model_v4	celD	Cellulase CelDZ1	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	A0A0U4EBH5
AF-P0C2S4-F1-model_v4	celD	Endoglucanase D	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P0C2S4
AF-A3DDN1-F1-model_v4	celD	Endoglucanase D	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	A3DDN1
AF-P26221-F1-model_v4	celD	Endoglucanase E-4	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P26221
AF-Q05622-F1-model_v4	celE	Endoglucanase E	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	Q05622
AF-P26224-F1-model_v4	celF	Endoglucanase F	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P26224
AF-Q05332-F1-model_v4	celG	Endoglucanase G	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	Q05332
AF-P16218-F1-model_v4	celH	Endoglucanase H	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P16218
AF-Q59394-F1-model_v4	celN	Endoglucanase N	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	Q59394
AF-P0C2S5-F1-model_v4	celS	Cellulose 1,4-beta-cellobiosidase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.176	K20829	P0C2S5
AF-P16630-F1-model_v4	celS	Endoglucanase S	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P16630
AF-Q47096-F1-model_v4	celV	Endoglucanase 5	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	Q47096
AF-Q59395-F1-model_v4	celV	Endoglucanase 6	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	Q59395
AF-P15329-F1-model_v4	celX	Endoglucanase X	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P15329
AF-P18336-F1-model_v4	celY	Endoglucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P18336
AF-P23659-F1-model_v4	celZ	Endoglucanase Z	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P23659
AF-P07103-F1-model_v4	celZ	Endoglucanase Z	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.4	-	P07103
AF-Q0CEU4-F1-model_v4	eglD	AA9 family lytic polysaccharide monooxygenase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	1.14.99.56	-	Q0CEU4
AF-A1C4H2-F1-model_v4	eglD	AA9 family lytic polysaccharide monooxygenase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	1.14.99.56	-	A1C4H2
AF-A1DBS6-F1-model_v4	eglD	AA9 family lytic polysaccharide monooxygenase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	1.14.99.56	-	A1DBS6
AF-A2R5N0-F1-model_v4	eglD	AA9 family lytic polysaccharide monooxygenase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	1.14.99.56	-	A2R5N0
AF-B8MXJ7-F1-model_v4	eglD	AA9 family lytic polysaccharide monooxygenase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	1.14.99.56	-	B8MXJ7
AF-B0Y9G4-F1-model_v4	eglD	AA9 family lytic polysaccharide monooxygenase A	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	1.14.99.56	-	B0Y9G4
AF-Q23892-F1-model_v4	gluA	Lysosomal beta glucosidase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.21	-	Q23892
AF-P23904-F1-model_v4	gluB	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	P23904
AF-O14412-F1-model_v4	licA	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	O14412
AF-Q84C00-F1-model_v4	licB	Beta-glucanase	Carbon cycling	Complex carbohydrate degradation	Cellulose degradation	3.2.1.73	-	Q84C00
AF-P13656-F1-model_v4	chiA	Bifunctional chitinase/lysozyme	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14; 3.2.1.17	K13381	P13656
AF-P14529-F1-model_v4	chiA	Chitinase	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	P14529
AF-B6A876-F1-model_v4	chiA	Chitinase 1	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	B6A876
AF-P11220-F1-model_v4	chiA	Chitinase 63	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	P11220
AF-P32823-F1-model_v4	chiA	Chitinase A	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	P32823
AF-P07254-F1-model_v4	chiA	Chitinase A	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	P07254
AF-P20533-F1-model_v4	chiA	Chitinase A1	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	P20533
AF-A5FB63-F1-model_v4	chiA	Chitinase ChiA	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	A5FB63
AF-Q92223-F1-model_v4	chiA	Endochitinase A	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K13381	Q92223
AF-B6A879-F1-model_v4	chiB	Chitinase 2	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K20547	B6A879
AF-P11797-F1-model_v4	chiB	Chitinase B	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K20547	P11797
AF-G5EAZ3-F1-model_v4	chiB	Endochitinase B	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	K20547	G5EAZ3
AF-P36909-F1-model_v4	chiC	Chitinase C	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	-	P36909
AF-P27050-F1-model_v4	chiD	Chitinase D	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.14	-	P27050
AF-P33665-F1-model_v4	csnA	Chitosanase	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.132	K01233	P33665
AF-P33673-F1-model_v4	csnA	Chitosanase	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.132	K01233	P33673
AF-Q875I9-F1-model_v4	csnB	Endo-chitosanase	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.132	K01233	Q875I9
AF-Q2U5P1-F1-model_v4	csnC	Endo-chitosanase C	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.132	K01233	Q2U5P1
AF-Q75R32-F1-model_v4	csnC	Endo-chitosanase C	Carbon cycling	Complex carbohydrate degradation	Chitin degradation	3.2.1.132	K01233	Q75R32
AF-Q47146-F1-model_v4	fadE	acyl-CoA dehydrogenase	Carbon cycling	Fatty acid degradation	Fatty acid beta-oxidation	1.3.8.7; 1.3.8.8	K06445	Q47146
AF-P21177-F1-model_v4	fadB	Fatty acid oxidation complex subunit alpha FadB	Carbon cycling	Fatty acid degradation	Fatty acid beta-oxidation	1.1.1.35; 4.2.1.17; 5.3.3.8; 5.1.2.3	K01825	P21177
AF-P21151-F1-model_v4	fadA	3-ketoacyl-CoA thiolase FadA	Carbon cycling	Fatty acid degradation	Fatty acid beta-oxidation	2.3.1.16	K00632	P21151
AF-P76503-F1-model_v4	fadI	3-ketoacyl-CoA thiolase FadI	Carbon cycling	Fatty acid degradation	Fatty acid beta-oxidation	2.3.1.16	K00632	P76503
AF-P77399-F1-model_v4	fadJ	Fatty acid oxidation complex subunit alpha FadJ	Carbon cycling	Fatty acid degradation	Fatty acid beta-oxidation	1.1.1.35; 4.2.1.17; 4.2.1.74; 5.1.2.3; 5.3.3.8	K01782	P77399
AF-P17262-F1-model_v4	dmpB	Metapyrocatechase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	1.13.11.2	K00446	P17262
AF-P49155-F1-model_v4	dmpH	4-oxalocrotonate decarboxylase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	4.1.1.77	K01617	P49155
AF-C4TP07-F1-model_v4	praC	Tautomerase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	5.3.2.6	K01821	C4TP07
AF-P19059-F1-model_v4	dmpC	2-hydroxymuconic semialdehyde dehydrogenase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	1.2.1.85	K10217	P19059
AF-Q83VZ5-F1-model_v4	bphH	2-hydroxyhexa-2,4-dienoate hydratase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	4.2.1.132	K18364	Q83VZ5
AF-P51015-F1-model_v4	bphI	4-hydroxy-2-oxovalerate aldolase 4	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	4.1.3.39; 4.1.3.43	K18365	P51015
AF-P54721-F1-model_v4	catE	Catechol-2,3-dioxygenase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	1.13.11.2	K07104	P54721
AF-P19076-F1-model_v4	dmpD	2-hydroxymuconate semialdehyde hydrolase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	3.7.1.9	K10216	P19076
AF-P08310-F1-model_v4	catB	Muconate cycloisomerase 1	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	5.5.1.1	K01856	P08310
AF-P07773-F1-model_v4	catA	Catechol 1,2-dioxygenase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	1.13.11.1	K03381	P07773
AF-P80573-F1-model_v4	catC	Muconolactone Delta-isomerase	Carbon cycling	Polyphenol (Catechol) cycling	catechol degradation	5.3.3.4	K03464	P80573
AF-Q88N36-F1-model_v4	pcaD	3-oxoadipate enol-lactonase 2	Carbon cycling	Polyphenol (Catechol / Hydroxybenzoic acids) cycling	catechol/protocatechuic acid degradation	3.1.1.24	K01055	Q88N36
AF-P51020-F1-model_v4	mhpE	4-hydroxy-2-oxovalerate aldolase	Carbon cycling	Polyphenol (Catechol / Hydroxyphenylpropanoic acids / Hydrxoycinnamic acids) cycling	catechol/phenylpropionate/trans-cinnamate degradation	4.1.3.39	K01666	P51020
AF-P77608-F1-model_v4	mhpD	2-keto-4-pentenoate hydratase	Carbon cycling	Polyphenol (Catechol / Hydroxyphenylpropanoic acids / Hydrxoycinnamic acids) cycling	catechol/phenylpropionate/trans-cinnamate degradation	4.2.1.80	K02554	P77608
AF-P76113-F1-model_v4	CurA	NADPH-dependent curcumin reductase	Carbon cycling	Polyphenol (Curcumin) cycling	curcumin conversion	-	K23256	P76113
AF-V9P074-F1-model_v4	FCR	Enoate reductase	Carbon cycling	Polyphenol (Flavonoids) cycling	flavone degradation to phloroglucinol	-	K26178	V9P074
AF-P28012-F1-model_v4	CHI	Chalcone--flavanone isomerase 1	Carbon cycling	Polyphenol (Flavonoids) cycling	flavone degradation to phloroglucinol	5.5.1.6	K26177	P28012
AF-R5TJH4-F1-model_v4	PHY	Phloretin hydrolase	Carbon cycling	Polyphenol (Flavonoids) cycling	flavone degradation to phloroglucinol	3.7.1.4	K22906	R5TJH4
AF-G9YLX2-F1-model_v4	FLR	Flavin reductase	Carbon cycling	Polyphenol (Flavonoids) cycling	flavone degradation to phloroglucinol	-	K26176	G9YLX2
AF-Q2EYY8-F1-model_v4	sam5	4-coumarate 3-hydroxylase	Carbon cycling	Polyphenol (Flavonoids) cycling	flavone/flavanone/isoflavonoid degradation	-	-	Q2EYY8
